sort_order,slug,category,jurisdiction,service_name,published_price,currency,partner_price,partner_price_ppn,source_period,source_title,source_file,source_page
1,asia-china-and-japan-jakarta-jurisdiction-china-single-entry-tourist-business-visa-regular,ASIA - CHINA & JAPAN,JAKARTA JURISDICTION,China Single Entry Tourist/Business Visa - Regular,2259000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
2,asia-china-and-japan-jakarta-jurisdiction-china-single-entry-tourist-business-visa-express,ASIA - CHINA & JAPAN,JAKARTA JURISDICTION,China Single Entry Tourist/Business Visa - Express,3789000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
3,asia-china-and-japan-jakarta-jurisdiction-china-double-entry-tourist-business-visa-regular,ASIA - CHINA & JAPAN,JAKARTA JURISDICTION,China Double Entry Tourist/Business Visa - Regular,2739000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
4,asia-china-and-japan-jakarta-jurisdiction-china-double-entry-tourist-business-visa-express,ASIA - CHINA & JAPAN,JAKARTA JURISDICTION,China Double Entry Tourist/Business Visa - Express,4379000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
5,asia-china-and-japan-jakarta-jurisdiction-china-multiple-entry-business-asean-visa-regular,ASIA - CHINA & JAPAN,JAKARTA JURISDICTION,China Multiple Entry Business ASEAN Visa - Regular,3099000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
6,asia-china-and-japan-jakarta-jurisdiction-china-multiple-entry-business-asean-visa-express,ASIA - CHINA & JAPAN,JAKARTA JURISDICTION,China Multiple Entry Business ASEAN Visa - Express,4689000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
7,asia-china-and-japan-jakarta-jurisdiction-japan-single-entry-tourist-visa-regular,ASIA - CHINA & JAPAN,JAKARTA JURISDICTION,Japan Single Entry Tourist Visa - Regular,2369000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
8,asia-china-and-japan-jakarta-jurisdiction-japan-temporary-visit-business-visa-single-entry-regular,ASIA - CHINA & JAPAN,JAKARTA JURISDICTION,Japan Temporary Visit Business Visa (Single Entry) - Regular,3519000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
9,asia-china-and-japan-jakarta-jurisdiction-japan-multiple-entry-tourist-visa-regular,ASIA - CHINA & JAPAN,JAKARTA JURISDICTION,Japan Multiple Entry Tourist Visa - Regular,2839000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
10,asia-china-and-japan-surabaya-jurisdiction-china-single-entry-tourist-business-visa-regular,ASIA - CHINA & JAPAN,SURABAYA JURISDICTION,China Single Entry Tourist/Business Visa - Regular,3019000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
11,asia-china-and-japan-surabaya-jurisdiction-china-single-entry-tourist-business-visa-express,ASIA - CHINA & JAPAN,SURABAYA JURISDICTION,China Single Entry Tourist/Business Visa - Express,4489000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
12,asia-china-and-japan-surabaya-jurisdiction-china-double-entry-tourist-business-visa-regular,ASIA - CHINA & JAPAN,SURABAYA JURISDICTION,China Double Entry Tourist/Business Visa - Regular,3459000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
13,asia-china-and-japan-surabaya-jurisdiction-china-double-entry-tourist-business-visa-express,ASIA - CHINA & JAPAN,SURABAYA JURISDICTION,China Double Entry Tourist/Business Visa - Express,5969000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
14,asia-china-and-japan-surabaya-jurisdiction-china-multiple-entry-business-asean-visa-regular,ASIA - CHINA & JAPAN,SURABAYA JURISDICTION,China Multiple Entry Business ASEAN Visa - Regular,5219000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
15,asia-china-and-japan-surabaya-jurisdiction-china-multiple-entry-business-asean-visa-express,ASIA - CHINA & JAPAN,SURABAYA JURISDICTION,China Multiple Entry Business ASEAN Visa - Express,5919000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
16,asia-china-and-japan-surabaya-jurisdiction-japan-single-entry-tourist-visa-regular,ASIA - CHINA & JAPAN,SURABAYA JURISDICTION,Japan Single Entry Tourist Visa - Regular,2689000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
17,asia-china-and-japan-surabaya-jurisdiction-japan-multiple-entry-tourist-visa-regular,ASIA - CHINA & JAPAN,SURABAYA JURISDICTION,Japan Multiple Entry Tourist Visa - Regular,2279000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,1
18,asia-china-and-japan-medan-jurisdiction-china-single-entry-tourist-business-visa-regular,ASIA - CHINA & JAPAN,MEDAN JURISDICTION,China Single Entry Tourist/Business Visa - Regular,2809000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
19,asia-china-and-japan-medan-jurisdiction-china-single-entry-tourist-business-visa-express,ASIA - CHINA & JAPAN,MEDAN JURISDICTION,China Single Entry Tourist/Business Visa - Express,3739000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
20,asia-china-and-japan-medan-jurisdiction-china-double-entry-tourist-business-visa-regular,ASIA - CHINA & JAPAN,MEDAN JURISDICTION,China Double Entry Tourist/Business Visa - Regular,3289000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
21,asia-china-and-japan-medan-jurisdiction-china-double-entry-tourist-business-visa-express,ASIA - CHINA & JAPAN,MEDAN JURISDICTION,China Double Entry Tourist/Business Visa - Express,5299000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
22,asia-china-and-japan-medan-jurisdiction-china-multiple-entry-business-asean-visa-regular,ASIA - CHINA & JAPAN,MEDAN JURISDICTION,China Multiple Entry Business ASEAN Visa - Regular,4339000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
23,asia-china-and-japan-medan-jurisdiction-china-multiple-entry-business-asean-visa-express,ASIA - CHINA & JAPAN,MEDAN JURISDICTION,China Multiple Entry Business ASEAN Visa - Express,5359000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
24,asia-china-and-japan-medan-jurisdiction-japan-single-entry-tourist-visa-regular,ASIA - CHINA & JAPAN,MEDAN JURISDICTION,Japan Single Entry Tourist Visa - Regular,3299000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
25,asia-china-and-japan-medan-jurisdiction-japan-multiple-entry-tourist-visa-regular,ASIA - CHINA & JAPAN,MEDAN JURISDICTION,Japan Multiple Entry Tourist Visa - Regular,3619000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
26,asia-china-and-japan-denpasar-jurisdiction-china-single-entry-tourist-business-visa-regular,ASIA - CHINA & JAPAN,DENPASAR JURISDICTION,China Single Entry Tourist/Business Visa - Regular,3639000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
27,asia-china-and-japan-denpasar-jurisdiction-china-double-entry-tourist-business-visa-regular,ASIA - CHINA & JAPAN,DENPASAR JURISDICTION,China Double Entry Tourist/Business Visa - Regular,3159000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
28,asia-china-and-japan-denpasar-jurisdiction-china-multiple-entry-business-asean-visa-regular,ASIA - CHINA & JAPAN,DENPASAR JURISDICTION,China Multiple Entry Business ASEAN Visa - Regular,6269000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
29,asia-china-and-japan-denpasar-jurisdiction-japan-single-entry-tourist-visa-regular,ASIA - CHINA & JAPAN,DENPASAR JURISDICTION,Japan Single Entry Tourist Visa - Regular,3579000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
30,asia-china-and-japan-denpasar-jurisdiction-japan-multiple-entry-tourist-visa-regular,ASIA - CHINA & JAPAN,DENPASAR JURISDICTION,Japan Multiple Entry Tourist Visa - Regular,3619000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,2
31,asia-japan-makassar-jurisdiction-japan-single-entry-tourist-visa-regular,ASIA - JAPAN,MAKASSAR JURISDICTION,Japan Single Entry Tourist Visa - Regular,2769000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,3
32,asia-japan-makassar-jurisdiction-japan-multiple-entry-tourist-visa-regular,ASIA - JAPAN,MAKASSAR JURISDICTION,Japan Multiple Entry Tourist Visa - Regular,3219000,IDR,,,April 2026,PRICELIST SPUN - OUTBOUND VISA - APRIL 2026,luar ke indo visa.pdf,3
